img_id,gt_position,roc_cdm,gguf_cdm,cdm_diff,roc_edit,gguf_edit,gt,roc_pred
book_zh_DLT10562007_extracted_page_17.png,[15],0.0,1.0,1.0,0.0,0.0,"$$
数据采集系统(DAS)完好率=\frac{DAS测点完好总数}{DAS测点设计总数}\times100\%
$$",\[  数据采集系统 (DAS) 完好率 =\frac{DAS 测点完好总数 }{DAS 测点设计总数 }\times100\% \]
book_zh_DLT10562007_extracted_page_17.png,[18],0.0,1.0,1.0,0.0,0.0,"$$
DCS模拟量测点校验合格率=\frac{DCS模拟量测点校验总合格数}{DCS模拟量测点校验总数}\times100\%
$$",\[ DCS模拟量测点校验合格率=\frac{DCS模拟量测点校验总合格数}{DCS模拟量测点校验总数}\times100\% \]
book_zh_DLT10562007_extracted_page_17.png,[22],0.0,1.0,1.0,0.0,0.0,"$$
顺序控制系统投入率=\frac{投入顺序控制系统总数}{设计顺序控制系统总数}\times100\%
$$",\[  顺序控制系统投入率 =\frac{ 投入顺序控制系统总数 }{ 设计顺序控制系统总数 }\times100\% \]
book_zh_DLT10562007_extracted_page_17.png,[28],0.0,1.0,1.0,0.0,0.0,"$$
标准仪器全年累计送检率=\frac{标准仪器全年累计送检数}{标准仪器全年应送检数}\times100\%
$$",\[  标准仪器全年累计送检率 =\frac{ 标准仪器全年累计送检数 }{ 标准仪器全年应送检数 }\times100\% \]
book_zh_DLT10902008_extracted_page_8.png,[9],0.0,1.0,1.0,0.03773584905660377,0.03773584905660377,"$$
\mathrm {MTBF=  \frac { 串联补偿装置的可用小时数 } { 串联补偿装置的强迫停运的次数 }= \frac { AH}{FOT} }
$$",\[ MTBF=\frac{ 串联补偿装置的可用小时数 }{ 串联补偿装置的强迫停运的次数 }=\frac{AH}{FOT} \]
book_zh_GBT 50744-2011_extracted_page_67.png,[3],0.0,1.0,1.0,0.0,0.0,"$$
操作侧机列中心线偏移= \frac { \frac { C+D } { 2 } - \frac { c + d } { 2 } } { 2 }
$$",\[ 操作侧机列中心线偏移=\frac{\frac{C+D}{2}-\frac{c+d}{2}}{2} \]
book_zh_TB100782001_extracted_page_21.png,[15],0.0,1.0,1.0,0.11538461538461539,0.11538461538461539,"$$
N_{编发}=\frac{( 1440 M - \sum t _ 固  ) ( 1 - \gamma _空) }{t_{编发}}
$$",\[ N_{ 编发 }=\frac{\left(1440M-\sum t_{ 固 }\right)(1-\gamma_{ 空 })}{t_{ 编发 }} \]
book_zh_TB100782001_extracted_page_21.png,[17.001],0.0,1.0,1.0,0.0,0.0,\[t_{编发}=&t_{预占}+t_{分解}+t_{集占}+t_{待编}+t_{编}+\],\[t_{ 编发 }=&t_{ 预占 }+t_{ 分解 }+t_{ 集占 }+t_{ 待编 }+t_{ 编 }+\]
book_zh_TB100782001_extracted_page_21.png,[23],0.0,1.0,1.0,0.12962962962962962,0.12962962962962962,"$$
N _ { 交接} = \frac { (1 4 4 0 M - \sum t _ 固) ( 1 - \gamma _ 空 ) } { t _ {占交接}}
$$",\[ N_{ 交接 }=\frac{\left(1\ 440M-\sum t_{ 固 }\right)\left(1-\gamma_{ 空 }\right)}{t_{ 占交接 }} \]
book_zh_TB100782001_extracted_page_21.png,[7],0.0,1.0,1.0,0.15789473684210525,0.15789473684210525,"$$
K_{到(发)}= \frac { T - \sum t _固 } { ( 1440 M - \sum t _ 固  ) ( 1 - \gamma _空) }
$$",\[ K_{到(发)}=\frac{T-\sum t_{固}}{\left(1440M-\sum t_{固}\right)\left(1-\gamma_{空}\right)} \]
book_zh_YDT10512018_extracted_page_30.png,[10],0.0,1.0,1.0,0.0,0.0,"$$
平均年停电次数= 市电在一年统计期内平均停电次数
$$",\[  平均年停电次数 = 市电在一年统计期内平均停电次数 \]
book_zh_YDT10512018_extracted_page_30.png,[4],0.0,1.0,1.0,0.0,0.0,"$$
市电不可用度= \frac { 市电停电时间 } { 统计期时间 }  =1-市电供电可靠率
$$",\[  市电不可用度 =\frac{ 市电停电时间 }{ 统计期时间 }=1- 市电供电可靠率 \]
book_zh_YDT10512018_extracted_page_30.png,[7],0.0,1.0,1.0,0.0,0.0,"$$
平均年停电时间= 市电不可用度\times365\times24
$$",\[  平均年停电时间 = 市电不可用度 \times365\times24 \]
docstructbench_dianzishu_zhongwenzaixian-o.O-61520788.pdf_391.jpg,[15],0.0,1.0,1.0,0.0,0.0,"$$
运输保险费=材料原价\times材料运输保险费率
 $$",\[  运输保险费 = 材料原价 \times 材料运输保险费率 \]
jiaocaineedrop_jiaocai_needrop_en_250.jpg,[3],0.0,1.0,1.0,0.0,0.0,"$$
化学能{\underset{氧化还原反应} {\xrightarrow{\text{化学电池}}}}电能  
$$",\[ 化学能{\underset{氧化还原反应} {\xrightarrow{化学电池}}}电能 \]
notes_1ba14cb325bc448f7201b20502ecf2b5_16.jpg,[4],0.0,1.0,1.0,0.07692307692307693,0.07692307692307693,$$日平均气温=一日内气温观测值之和{\div} 观测次数$$,\[ 日平均气温 = 一日内气温观测值之和 \div 观测次数 \]
page-28657a85-95cc-4bfa-8156-cc98518a0b4c.png,[8],0.0,1.0,1.0,0.0,0.0,$$\frac{\text{阿里巴巴服务新消费交易额}}{\text{国家相关行业交易额}} = \frac{\text{ 阿里巴巴直接带动就业人数}}{\text{国家相关行业就业人数}}  \tag{2.4}$$,\[ \frac{ 阿里巴巴服务新消费交易额 }{ 国家相关行业交易额 }=\frac{ 阿里巴巴直接带动就业人数 }{ 国家相关行业就业人数 } \]
